,Item,Price,Precio_kilo,Internal code,Categoria 1,Categoria 2,urls
79,,"2,49",NA,4783896,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24783896-juego-sabanas-jack-polar-color-salmon-3-piezas-100-poliester-eroski-talla-90/
80,,"1,79","6,66 €",5290263,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25290263-alimento-de-salmon-gato-digestion-sensible-one-paquete-15-kg/
81,,"3,40","31,80 €",5519265,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/25519265-sticks-gato-salmon-biozoo-bolsa-50-g/
82,,"4,75","49,95 €",3539323,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/23539323-suprema-de-salmon-asc-findus-caja-200-g/
83,,"4,00","6,44 €",7721044,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/17721044-alimento-de-salmon-gato-adulto-purina-one-paquete-800-g/
84,,"9,95","25,83 €",5531294,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/25531294-lomos-de-bacalao-skrei-al-punto-de-sal-pescanova-bandeja-300-g/
85,,"9,65",NA,4783722,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24783722-juego-sabanas-carl-polar-color-salmon-3-piezas-100-poliester-eroski-talla-105/
86,,"3,79","21,06 €",9536697,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/19536697-snack-de-salmon-para-gato-catisfaction-paquete-180-g/
87,,"1,89","10,15 €",3904311,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/23904311-alimento-humedo-de-pollosalmon-gato-esteril-ultima-bolsa-340-g/
88,,"7,90","19,96 €",25946,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/225946-cocochas-de-bacalao-al-peso-compra-minima-500-g/
89,,"5,62","18,89 €",3816929,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/23816929-pintxo-de-salmon-aguinamar-bandeja-180-g/
90,,"9,50","6,82 €",3895618,Mascotas,Perros,https://supermercado.eroski.es/es/productdetail/23895618-alimento-de-salmon-para-perro-beyond-saco-3-kg/
91,,"5,50","11,97 €",9113687,Congelados,Platos preparados,https://supermercado.eroski.es/es/productdetail/19113687-croquetas-de-bacalao-ameztoi-bolsa-350-g/
92,,"2,75",NA,4783920,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24783920-juego-sabanas-jack-polar-color-salmon-4-piezas-100-poliester-eroski-talla-150/
93,,"9,89","35,45 €",7462078,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/17462078-maki-salmon-mango-y-aguacate-sushitake-bandeja-200-g/
94,,"4,95","74,88 €",2467120,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/22467120-salmon-ahumado-martiko-sobre-80-g/
